顾客编号	大类名称	中类名称	小类名称	销售日期	销售数量	销售金额	商品单价
23	粮油	袋装速食面组	猪肉口味	20150101	1	14.7	14.7
24	熟食	现制中式面点	现制烙类	20150101	2	2	1
5	洗化	卫生巾	夜用卫生巾	20150101	1	4.7	4.7
25	粮油	五谷杂粮	常规面粉	20150101	1	33.9	33.9
25	粮油	五谷杂粮	杂粮粉	20150101	1.006	4.60748	4.58
26	家居	厨房清洁	抹布	20150101	1	9.9	9.9
11	熟食	卤制熟食	卤制畜类	20150101	0.258	20.64	80
27	家居	卫浴用品	梳子/镜子	20150101	1	15	15
5	洗化	卫生巾	夜用卫生巾	20150101	1	8.7	8.7
28	洗化	卫生巾	夜用卫生巾	20150101	1	9.9	9.9
29	休闲	巧克力	威化巧克力	20150101	1	8.5	8.5
24	粮油	液体调料	料酒	20150101	1	1.1	1.1
30	休闲	巧克力	果仁巧克力	20150101	1	39.8	39.8
31	肉禽	猪肉	猪骨	20150101	0.356	12.46	35
20	肉禽	猪肉	鲜猪肉	20150101	0.342	10.1916	29.8
32	洗化	洗浴用品	香皂	20150101	1	4.7	4.7
32	洗化	洗护发用品	洗发水	20150101	1	46.9	46.9
33	日配	常温乳品	利乐枕纯奶	20150101	16	43.2	2.7
33	冲调	冲调食品	芝麻糊	20150101	1	22.7	22.7
34	文体	笔类	圆珠笔	20150101	1	2.3	2.3
35	蔬果	蔬菜	花果	20150101	0.612	1.57896	2.58
35	休闲	饼干	夹心	20150101	1	4.5	4.5
31	蔬果	蔬菜	菌菇类	20150101	1	5.8	5.8
20	蔬果	水果	梨类	20150101	0.92	14.6832	15.96
36	粮油	五谷杂粮	常规面粉	20150101	1	21.9	21.9
22	粮油	南北干货	桂圆	20150101	0.292	5.7816	19.8
18	蔬果	蔬菜	根茎	20150101	1.146	2.93376	2.56
37	蔬果	水果	苹果类	20150101	0.858	10.27884	11.98
38	蔬果	水果	进口水果	20150101	0.266	4.2294	15.9
12	粮油	南北干货	红枣	20150101	0.366	13.8348	37.8
39	蔬果	蔬菜	花果	20150101	0.786	1.4148	1.8
40	日配	冷藏乳品	冷藏原味鲜乳	20150101	1	12.8	12.8
19	休闲	糖果	硬糖	20150101	1	4	4
41	蔬果	蔬菜	叶菜	20150101	0.796	5.22176	6.56
42	日配	冷藏乳品	冷藏加味酸乳	20150101	1	11.9	11.9
12	熟食	现制中式面点	现制蒸类	20150101	0.53	3.18	6
31	洗化	纸制品	手帕纸	20150101	1	3	3
43	洗化	保养用品	手足保养品	20150101	1	10.9	10.9
24	蔬果	加工豆类	豆腐	20150101	0.447	1.32312	2.96
21	蔬果	蔬菜	根茎	20150101	0.22	0.8756	3.98
37	蔬果	水果	蕉类	20150101	0.641	3.82036	5.96
39	粮油	盐/糖	功能盐	20150101	1	2.8	2.8
44	粮油	袋装速食面	干脆面	20150101	1	0.5	0.5
31	蔬果	加工豆类	豆腐	20150101	1	1.5	1.5
31	日配	冷冻火锅类	火锅丸类	20150101	0.544	17.7344	32.6
14	休闲	炒货	带壳花生	20150101	0.27	3.186	11.8
45	蔬果	蔬菜	花果	20150101	0.208	1.65568	7.96
7	蔬果	蔬菜	叶菜	20150101	0.12	0.6672	5.56
22	休闲	蜜饯	葡萄干	20150101	0.928	31.3664	33.8
21	水产	冰鲜水产	贝蛤类	20150101	0.5	15	30
46	蔬果	水果	柑桔柚类	20150101	2.018	4.036	2
38	蔬果	水果	柑桔柚类	20150101	0.366	2.92068	7.98
2	蔬果	水果	进口水果	20150101	0.278	4.4202	15.9
11	熟食	卤制熟食	卤制畜类	20150101	0.178	7.12	40
34	蔬果	蔬菜	叶菜	20150101	0.706	2.79576	3.96
34	文体	学生用品	修正液/带	20150101	1	3.3	3.3
47	蔬果	水果	柑桔柚类	20150101	0.286	2.86	10
17	蔬果	蔬菜	根茎	20150101	0.622	1.59232	2.56
17	日配	常温乳品	利乐枕加味奶	20150101	3	8.4	2.8
48	蔬果	蔬菜	鲜调味	20150101	0.064	0.22784	3.56
44	粮油	袋装速食面	干脆面	20150101	1	0.5	0.5
31	蔬果	其它加工	咸菜干货	20150101	0.072	0.144	2
4	蔬果	蔬菜	花果	20150101	0.686	1.35828	1.98
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
41	休闲	口香糖	有糖口香糖	20150101	1		10.9
43	洗化	口腔卫生用品	成人牙膏	20150101	1		10.9
37	酒饮	乳饮料	乳酸菌饮料	20150101	1		5.5
39	蔬果	水果	蕉类	20150101	0.871		5.96
42	蔬果	蔬菜	花果	20150101	0.294		2.58
42	日配	冷藏乳品	冷藏营养酸乳	20150101	1		9.9
8	日配	常温乳品	利乐砖营养奶	20150101	1		62
29	洗化	卫生巾	夜用卫生巾	20150101	1		4.5
33	冲调	奶粉	中老年奶粉	20150101	1		36.5
50	家电	电池配件	干电池	20150101	4		4.5
38	蔬果	水果	苹果类	20150101	0.698		17.8
38	蔬果	水果	苹果类	20150101	0.752		17.8
34	粮油	煮食面/粉	鸡蛋挂面	20150101	1		5.9
45	酒饮	乳饮料	纯味酸乳饮	20150101	1		4.9
9	休闲	即食熟制品	牛肉干	20150101	1		12.5
46	蔬果	水果	进口水果	20150101	1.353		17.6
10	日配	蛋类	新鲜蛋品	20150101	2.214		19.8
10	洗化	卫生巾	日用卫生巾	20150101	1		3.9
52	休闲	蜜饯	梅	20150101	1		5.5
11	蔬果	蔬菜	根茎	20150101	0.804		1.8
24	粮油	液体调料	生抽酱油	20150101	1		1.3
31	蔬果	蔬菜	菌菇类	20150101	0.224		18
37	休闲	即食熟制品	其他即食熟制品	20150101	1		2.7
53	蔬果	水果	梨类	20150101	1.6		15.96
33	冲调	冲调食品	麦片/粉	20150101	1		30.7
33	休闲	饼干	苏打	20150101	1		5.7
33	休闲	饼干	夹心	20150101	1		5.7
2	蔬果	蔬菜	鲜调味	20150101	0.299		5.98
51	休闲	膨化点心	袋装薯片	20150101	1		3.9
34	粮油	调味料	包装汤料	20150101	1		4.9
54	粮油	南北干货	红枣	20150101	0.306		37.8
55	洗化	纸制品	无芯纸	20150101	1		1.7
22	休闲	炒货	香瓜子	20150101	0.344		13.8
56	休闲	饼干	威化	20150101	1		8.7
9	日配	冷藏乳品	冷藏果粒酸乳	20150101	1		11.8
9	休闲	即食熟制品	牛肉干	20150101	1		10.9
41	蔬果	蔬菜	菌菇类	20150101	0.444		9
57	日配	冷藏乳品	冷藏果粒酸乳	20150101	1		11.8
57	休闲	饼干	夹心	20150101	1		6.9
5	洗化	卫生巾	夜用卫生巾	20150101	1		7.9
32	粮油	液体调料	其他酱油	20150101	1		12.9
44	蔬果	蔬菜	根茎	20150101	0.452		4
31	粮油	调味酱	火锅底料	20150101	1		3.9
21	蔬果	蔬菜	叶菜	20150101	0.328		2.56
21	蔬果	蔬菜	根茎	20150101	0.614		3.96
58	蔬果	蔬菜	其它蔬菜	20150101	4		2
0	蔬果	蔬菜	花果	20150101	0.83		1.98
15	蔬果	蔬菜	花果	20150101	0.457		2.58
50	家电	电池配件	干电池	20150101	1		13
2	蔬果	水果	桃/李类	20150101	0.462		9.96
42	日配	蛋类	新鲜蛋品	20150101	0.75		6.78
51	休闲	巧克力	夹心巧克力	20150101	1		5.3
51	洗化	卫生巾	夜用卫生巾	20150101	1		9.9
6	蔬果	蔬菜	花果	20150101	0.47		2.58
1	粮油	南北干货	粉丝/条	20150101	1		5.7
57	休闲	饼干	夹心	20150101	1		6.9
8	蔬果	水果	梨类	20150101	1.352		3.18
57	洗化	纸制品	无芯纸	20150101	1		24.9
8	熟食	现制中式面点	现制蒸类	20150101	4		0.5
0	熟食	现制中式面点	现制蒸类	20150101	4		0.5
28	酒饮	运动机能饮料	健康机能饮料	20150101	1		4
0	蔬果	蔬菜	花果	20150101	1.078		3.16
3	蔬果	水果	苹果类	20150101	1.244		4.98
14	粮油	盐/糖	白砂糖	20150101	1		9.5
4	日配	蛋类	新鲜蛋品	20150101	0.862		6.78
4	酒饮	乳饮料	纯味酸乳饮	20150101	4		2.2
35	粮油	调味料	调理粉	20150101	1		2.7
18	粮油	南北干货	木耳	20150101	0.282		89.8
33	冲调	奶粉	全脂奶粉	20150101	1		19.9
33	冲调	奶粉	中老年奶粉	20150101	1		32
15	熟食	凉拌熟食	凉拌素食	20150101	0.001		20
10	蔬果	蔬菜	鲜调味	20150101	0.573		6.56
52	粮油	南北干货	红枣	20150101	0.308		37.8
41	蔬果	蔬菜	叶菜	20150101	0.58		5.8
47	日配	蛋类	新鲜蛋品	20150101	1.084		19.8
30	蔬果	水果	柑桔柚类	20150101	0.608		15.98
31	粮油	调味酱	甜面/豆瓣酱	20150101	1		2
1	蔬果	蔬菜	叶菜	20150101	0.91		2.56
47	蔬果	蔬菜	叶菜	20150101	0.416		2.56
59	粮油	南北干货	粉丝/条	20150101	0.534		6.8
60	粮油	调味料	香辛粉	20150101	1		3.9
15	日配	蛋类	新鲜蛋品	20150101	1.038		6.78
39	粮油	酱菜类	蔬菜	20150101	1		2.7
38	蔬果	水果	柑桔柚类	20150101	0.439		10
43	休闲	口香糖	无糖口香糖	20150101	1		10.4
60	休闲	炒货	香瓜子	20150101	1		5.9
17	日配	常温乳品	利乐枕加味奶	20150101	3		2.8
48	酒饮	茶饮料	红茶	20150101	1		2.5
45	蔬果	蔬菜	花果	20150101	0.214		9
51	酒饮	纯果汁	其他纯果汁	20150101	1		4
34	蔬果	水果	梨类	20150101	1.518		15.96
54	休闲	蜜饯	葡萄干	20150101	0.44		35.8
49	蔬果	蔬菜	根茎	20150101	0.626		3.96
49	蔬果	水果	进口水果	20150101	0.456		15.9
22	水产	干货水产	干货虾蟹贝类	20150101	0.768		30
45	蔬果	蔬菜	根茎	20150101	0.872		1.96
35	日配	蛋类	新鲜蛋品	20150101	1.212		8.5
35	休闲	饼干	苏打	20150101	1		4.9
35	休闲	饼干	苏打	20150101	1		5.7
55	洗化	卫生巾	夜用卫生巾	20150101	1		8.7
9	休闲	饼干	趣味/休闲	20150101	1		6
52	休闲	饼干	威化	20150101	0.144		19.8
11	蔬果	蔬菜	花果	20150101	0.851		2.58
34	蔬果	蔬菜	花果	20150101	1.028		2.58
34	文体	学生用品	修正液/带	20150101	1		4.7
48	蔬果	蔬菜	根茎	20150101	0.662		1.96
54	蔬果	蔬菜	根茎	20150101	0.706		56
19	洗化	纸制品	无芯纸	20150101	1		15.9
12	洗化	纸制品	软抽纸巾	20150101	1		9.7
55	洗化	洗衣用品	洗衣粉	20150101	1		19.9
22	洗化	纸制品	手帕纸	20150101	1		5.9
30	酒饮	香烟	国产省内香烟	20150101	1		15
44	蔬果	蔬菜	花果	20150101	0.456		9.96
31	蔬果	加工豆类	豆干豆皮	20150101	0.08		7.76
47	日配	冷藏乳品	冷藏果粒酸乳	20150101	3		8.9
44	肉禽	猪肉	鲜猪肉	20150101	0.27		29.8
19	蔬果	水果	进口水果	20150101	1.262		17.6
20	蔬果	蔬菜	根茎	20150101	0.206		5.8
53	粮油	液体调料	其他酱油	20150101	1		12.9
20	蔬果	蔬菜	叶菜	20150101	0.574		2.56
21	蔬果	水果	柑桔柚类	20150101	0.998		2
57	洗化	纸制品	无芯纸	20150101	1		6.9
29	洗化	卫生巾	夜用卫生巾	20150101	1		8.7
60	粮油	调味料	香辛粉	20150101	1		2
61	熟食	现制中式面点	现制蒸类	20150101	0.465		6
33	冲调	冲调食品	芝麻糊	20150101	1		23.3
62	蔬果	水果	苹果类	20150101	1.868		17.8
44	休闲	饼干	粗粮/蔬菜	20150101	1		1.5
32	洗化	洗浴用品	香皂	20150101	1		4.7
2	蔬果	水果	梨类	20150101	1.842		3.18
21	蔬果	蔬菜	花果	20150101	0.496		2.58
60	蔬果	蔬菜	芽菜	20150101	0.443		2.78
51	洗化	卫生巾	夜用卫生巾	20150101	1		8.7
3	蔬果	水果	苹果类	20150101	0.504		11.98
58	蔬果	蔬菜	叶菜	20150101	0.652		6
58	日配	冷冻点心	冷冻年糕	20150101	1		6.7
58	日配	冷冻火锅类	火锅丸类	20150101	0.398		32.6
36	粮油	五谷杂粮	杂粮	20150101	1.004		9.9
36	洗化	卫生巾	日用卫生巾	20150101	1		7.7
15	粮油	五谷杂粮	袋装白米	20150101	1		39.9
6	日配	蛋类	咸蛋	20150101	0.774		19
50	休闲	口香糖	无糖口香糖	20150101	1		9.9
2	蔬果	蔬菜	根茎	20150101	0.598		1.8
17	日配	冷藏肉制品	块状火腿	20150101	1		5.7
14	蔬果	蔬菜	根茎	20150101	1.173		2.56
10	粮油	酱菜类	蔬菜	20150101	5		1.7
26	冲调	奶粉	全脂奶粉	20150101	1		19.9
35	日配	蛋类	新鲜蛋品	20150101	2.44		6.78
35	粮油	调味料	淀/酵/碱粉	20150101	1		2.9
12	蔬果	蔬菜	叶菜	20150101	2.862		1.96
24	蔬果	蔬菜	叶菜	20150101	0.252		12
24	休闲	糕点	其他糕点	20150101	1		6.9
44	粮油	袋装速食面	牛肉口味	20150101	1		2.5
44	粮油	袋装速食面	干脆面	20150101	1		0.5
31	休闲	炒货	香瓜子	20150101	0.186		17
43	洗化	浴厕厨清洁剂	餐具清洁剂	20150101	1		3.9
21	蔬果	蔬菜	根茎	20150101	0.312		5.56
56	蔬果	水果	蕉类	20150101	1.878		9.98
56	粮油	酱菜类	蔬菜	20150101	1		8.2
56	休闲	糕点	散称糕点	20150101	0.372		15.8
9	酒饮	果汁饮料	其他果汁饮料	20150101	1		4.5
52	休闲	糕点	散称糕点	20150101	0.144		25.8
11	蔬果	水果	桃/李类	20150101	0.348		9.96
16	酒饮	净水	国产矿水	20150101	2		2
35	粮油	调味料	淀/酵/碱粉	20150101	1		1.3
23	休闲	糕点	其他糕点	20150101	1		5.3
57	冲调	咖啡	咖啡	20150101	1		9.9
37	酒饮	啤酒	国产黄啤	20150101	4		2.5
46	蔬果	水果	柑桔柚类	20150101	1.32		14.99
10	休闲	糕点	派	20150101	1		9.9
24	粮油	液体调料	陈醋	20150101	1		1.7
58	针织	毯子	双人电热毯	20150101	1		69
44	蔬果	蔬菜	鲜调味	20150101	0.44		6.56
21	蔬果	加工豆类	豆腐	20150101	0.402		2.96
63	洗化	口腔卫生用品	成人牙刷	20150101	1		14.9
44	休闲	糕点	散称糕点	20150101	0.086		31.8
31	蔬果	加工豆类	豆类料理	20150101	0.082		27.2
31	酒饮	黄酒	普通黄酒	20150101	1		12.9
43	洗化	洗衣用品	洗衣液	20150101	1		19.7
21	蔬果	蔬菜	根茎	20150101	0.45		7.6
27	休闲	蜜饯	山楂	20150101	0.382		25.8
27	洗化	浴厕厨清洁剂	洁厕剂	20150101	1		9.9
34	日配	蛋类	新鲜蛋品	20150101	1.014		6.78
35	粮油	袋装速食面组	牛肉口味	20150101	1		22.5
35	粮油	调味料	淀/酵/碱粉	20150101	1		1.3
36	粮油	五谷杂粮	杂粮粉	20150101	1.004		4.4
9	休闲	即食熟制品	牛肉干	20150101	1		11.9
19	蔬果	水果	苹果类	20150101	1.236		11.98
46	蔬果	水果	柑桔柚类	20150101	1.406		14.99
11	蔬果	蔬菜	花果	20150101	0.648		9.96
47	蔬果	蔬菜	花果	20150101	0.39		1.98
44	洗化	纸制品	软抽纸巾	20150101	1		19.9
31	蔬果	蔬菜	叶菜	20150101	0.244		12
49	蔬果	水果	苹果类	20150101	1.108		11.98
64	蔬果	水果	其它水果	20150102	0.536		30
65	粮油	酱菜类	榨菜	20150102	1		0.9
66	冲调	冲饮品	奶茶饮品	20150102	1		3
67	洗化	纸制品	无芯纸	20150102	4		1.7
68	肉禽	猪肉	鲜猪肉	20150102	0.77		29.8
68	蔬果	蔬菜	菌菇类	20150102	0.5		6.56
68	日配	常温肉制品	猪肉火腿肠	20150102	1		16.3
69	休闲	膨化点心	罐装薯片	20150102	1		17.9
70	蔬果	蔬菜	菌菇类	20150102	0.198		6.56
71	蔬果	蔬菜	芽菜	20150102	0.556		1.48
72	熟食	凉拌熟食	凉拌素食	20150102	0.546		20
73	洗化	纸制品	软抽纸巾	20150102	1		8.9
68	酒饮	进口酒	预调酒	20150102	1		10.5
70	粮油	桶杯装速食面	牛肉口味	20150102	1		5.5
74	日配	冷藏肉制品	其它肠类	20150102	1		12.9
74	休闲	口香糖	无糖口香糖	20150102	1		10.9
74	休闲	口香糖	无糖口香糖	20150102	1		16
75	蔬果	蔬菜	花果	20150102	0.69		9.96
68	粮油	袋装速食面组	牛肉口味	20150102	1		22.5
68	冲调	冲调食品	麦片/粉	20150102	1		13.9
68	休闲	膨化点心	袋装薯片	20150102	1		5.9
76	休闲	蜜饯	山楂	20150102	1		7.5
71	蔬果	加工豆类	豆腐	20150102	0.565		2.96
74	日配	常温肉制品	猪肉火腿肠	20150102	1		16.3
77	休闲	饼干	趣味/休闲	20150102	1		6.3
77	休闲	膨化点心	米制点心	20150102	1		5.9
78	家居	打扫用品	手套	20150102	1		8
79	粮油	南北干货	红枣	20150102	0.28		37.8
80	休闲	口香糖	无糖口香糖	20150102	1		10.4
81	蔬果	蔬菜	花果	20150102	1.638		5.8
65	粮油	酱菜类	榨菜	20150102	1		0.5
66	洗化	口腔卫生用品	成人牙膏	20150102	1		9.9
82	肉禽	猪肉	鲜猪肉	20150102	0.46		29.8
82	蔬果	蔬菜	菌菇类	20150102	0.446		18
83	粮油	盐/糖	功能盐	20150102	1		2.3
84	日配	冷冻点心	冷冻面食	20150102	1		10.3
85	休闲	糕点	派	20150102	1		11.5
68	粮油	桶杯装速食面	牛肉口味	20150102	1		3.7
86	休闲	无糖食品	无糖休闲食品	20150102	1		28
87	休闲	炒货	香瓜子	20150102	1		3
3	蔬果	加工豆类	豆腐	20150102	2		1.5
77	休闲	膨化点心	其他膨化点心	20150102	1		3.3
88	蔬果	水果	进口水果	20150102	0.598		17.6
89	粮油	调味酱	甜面/豆瓣酱	20150102	1		3.7
90	休闲	口香糖	有糖口香糖	20150102	1		9.7
69	休闲	果冻	杯装果冻	20150102	1		5.9
91	蔬果	蔬菜	菌菇类	20150102	1		5.5
63	蔬果	蔬菜	叶菜	20150102	0.366		5.6
92	蔬果	水果	其它水果	20150102	0.93		9.98
93	蔬果	蔬菜	根茎	20150102	1.006		2.56
83	粮油	袋装速食面	干脆面	20150102	1		3.5
94	洗化	保养用品	护肤用品	20150102	1		40
76	粮油	液体调料	老抽酱油	20150102	1		7.9
95	粮油	液体调料	料酒	20150102	1		6.7
65	蔬果	蔬菜	鲜调味	20150102	0.693		6.56
96	蔬果	加工豆类	豆干豆皮	20150102	0.364		5
83	日配	冷藏肉制品	肉类	20150102	1		4.9
97	休闲	即食熟制品	鱼类	20150102	1		1
98	休闲	炒货	西瓜子	20150102	1		7.9
82	蔬果	水果	其它水果	20150102	0.56		11.98
99	日配	冷冻火锅类	火锅丸类	20150102	0.562		32.6
100	蔬果	水果	柑桔柚类	20150102	1.512		9
101	洗化	卫生巾	日用卫生巾	20150102	1		8.9
102	蔬果	蔬菜	花果	20150102	0.28		7.8
77	休闲	饼干	趣味/休闲	20150102	1		5
77	休闲	膨化点心	袋装薯片	20150102	1		3.3
101	洗化	卫生巾	夜用卫生巾	20150102	1		1.5
103	蔬果	蔬菜	花果	20150102	0.626		2.58
103	蔬果	水果	其它水果	20150102	0.53		23
69	日配	冷藏乳品	冷藏加味酸乳	20150102	1		12.8
104	蔬果	水果	蕉类	20150102	1.74		5.96
88	休闲	饼干	简装/压缩	20150102	0.182		19.8
70	文体	学生用品	修正液/带	20150102	1		1.7
91	日配	蛋类	新鲜蛋品	20150102	0.914		6.78
105	粮油	袋装速食面	牛肉口味	20150102	1		3
106	冲调	奶粉	婴儿辅助食品	20150102	1		4.9
83	熟食	凉拌熟食	凉拌素食	20150102	0.284		20
106	洗化	洗浴用品	沐浴露	20150102	1		19.9
89	粮油	盐/糖	绵白糖	20150102	1		6.8
80	休闲	炒货	南瓜子	20150102	1		8.3
80	休闲	炒货	南瓜子	20150102	1		8.9
105	水产	干货水产	干货虾蟹贝类	20150102	0.168		30
12	蔬果	蔬菜	根茎	20150102	0.21		56
75	蔬果	蔬菜	花果	20150102	0.646		5.8
12	粮油	液体调料	凉拌酱油	20150102	5		1.3
83	粮油	袋装速食面组	海鲜口味	20150102	1		12.5
83	休闲	膨化点心	袋装薯片	20150102	1		3.7
66	洗化	洗衣用品	洗衣液	20150102	1		51.9
107	粮油	南北干货	干果	20150102	1		22.3
77	休闲	膨化点心	米制点心	20150102	1		8.7
108	蔬果	蔬菜	根茎	20150102	1.472		3.96
106	粮油	桶杯装速食面	牛肉口味	20150102	1		5.5
84	蔬果	蔬菜	花果	20150102	0.914		3.16
78	洗化	洗护发用品	染发用品	20150102	1		108
103	蔬果	水果	桃/李类	20150102	5		20
103	粮油	调味料	香辛料	20150102	1		7.3
109	酒饮	碳酸饮料	可乐型	20150102	1		6.9
69	休闲	巧克力	黑/纯巧克力	20150102	1		7.9
89	粮油	盐/糖	功能盐	20150102	1		2.3
90	粮油	南北干货	干果	20150102	1		22.3
110	熟食	凉拌熟食	凉拌素食	20150102	0.51		20
92	蔬果	水果	梨类	20150102	2.152		15.96
80	休闲	炒货	西瓜子	20150102	1		10.5
93	蔬果	水果	苹果类	20150102	1.212		11.98
94	洗化	保养用品	洁面乳	20150102	1		23.9
99	日配	蛋类	新鲜蛋品	20150102	1		11.9
84	肉禽	猪肉	鲜猪肉	20150102	0.28		27.8
101	粮油	南北干货	红枣	20150102	0.338		37.8
101	休闲	饼干	趣味/休闲	20150102	1		4.9
91	蔬果	蔬菜	根茎	20150102	1.297		1.8
105	粮油	煮食面/粉	挂面	20150102	1		8.5
96	粮油	酱菜类	榨菜	20150102	1		0.5
111	蔬果	蔬菜	叶菜	20150102	0.392		3.96
63	蔬果	其它加工	咸菜干货	20150102	0.118		50
112	粮油	袋装速食面组	牛肉口味	20150102	1		14.7
113	酒饮	进口酒	预调酒	20150102	1		12.9
65	肉禽	鸡产品	分割鸡件	20150102	0.516		17.6
65	蔬果	蔬菜	花果	20150102	0.424		9.96
65	粮油	盐/糖	绵白糖	20150102	1		5.9
114	粮油	南北干货	银耳	20150102	0.064		99
114	休闲	蜜饯	其他蜜饯	20150102	0.214		29.8
71	蔬果	水果	蕉类	20150102	1.184		9.98
71	粮油	五谷杂粮	杂粮	20150102	0.906		15.8
115	蔬果	蔬菜	花果	20150102	1.566		12
116	日配	常温乳品	利乐砖乳酸菌	20150102	12		5.5
80	休闲	糖果	奶糖	20150102	1		9.5
76	粮油	液体调料	凉拌酱油	20150102	1		6.9
76	洗化	卫生巾	夜用卫生巾	20150102	1		5.7
77	休闲	糕点	派	20150102	1		7.5
77	休闲	糕点	进口糕点	20150102	1		16.9
77	休闲	膨化点心	粟米类	20150102	1		4.3
99	蔬果	蔬菜	叶菜	20150102	0.122		5.56
89	粮油	液体调料	滴醋	20150102	1		4.8
90	洗化	洗浴用品	香皂	20150102	1		4.9
83	蔬果	蔬菜	根茎	20150102	0.582		56
87	粮油	食用油	山茶油/野茶油	20150102	1		87.9
117	肉禽	鸡产品	分割鸡件	20150102	0.274		35.8
117	洗化	纸尿裤	成人纸尿裤	20150102	1		43
97	休闲	即食熟制品	鱼类	20150102	1		1
113	酒饮	啤酒	国产黄啤	20150102	1		9.8
112	日配	冷藏乳品	冷藏加味酸乳	20150102	1		17.9
118	蔬果	水果	柑桔柚类	20150102	1.656		6.98
107	冲调	冲饮品	奶茶饮品	20150102	1		4.9
85	休闲	膨化点心	米制点心	20150102	1		3.8
88	蔬果	水果	其它水果	20150102	0.596		23
74	日配	冷藏乳品	冷藏营养酸乳	20150102	1		11.9
115	蔬果	蔬菜	叶菜	20150102	2.542		1.96
92	蔬果	水果	进口水果	20150102	1.19		17.6
90	休闲	糕点	蛋卷	20150102	1		4.5
90	洗化	纸制品	平板纸	20150102	1		5.9
83	蔬果	蔬菜	芽菜	20150102	0.776		1.76
111	日配	冷冻火锅类	肉片/串类	20150102	1		16.3
63	蔬果	蔬菜	叶菜	20150102	0.635		6
66	洗化	纸制品	手帕纸	20150102	1		6.9
119	粮油	调味料	香辛粉	20150102	1		7.3
70	文体	胶水胶带	固体胶	20150102	1		1.3
71	蔬果	水果	梨类	20150102	1.088		3.18
72	蔬果	蔬菜	菌菇类	20150102	1		5.8
76	粮油	罐头	八宝粥	20150102	1		3.2
120	蔬果	蔬菜	花果	20150102	0.272		9.96
120	日配	蛋类	新鲜蛋品	20150102	0.982		6.78
108	蔬果	蔬菜	根茎	20150102	-0.001		3.96
108	蔬果	蔬菜	根茎	20150102	0.001		3.96
108	蔬果	蔬菜	花果	20150102	0.51		9.6
34	蔬果	水果	柑桔柚类	20150102	0.716		2
66	日配	常温乳品	利乐枕营养奶	20150102	16		2.8
107	洗化	口腔卫生用品	成人牙刷	20150102	1		8.9
63	蔬果	蔬菜	根茎	20150102	0.601		4
121	粮油	南北干货	红枣	20150102	0.282		37.8
102	蔬果	蔬菜	根茎	20150102	0.152		3.8
114	休闲	即食熟制品	海苔	20150102	1		2
66	洗化	纸制品	软抽纸巾	20150102	1		15.9
66	家居	保鲜用品	保鲜袋	20150102	1		10
113	酒饮	茶饮料	红茶	20150102	1		2.5
112	蔬果	水果	梨类	20150102	1.821		3.18
86	粮油	罐头	八宝粥	20150102	12		3.2
69	休闲	饼干	趣味/休闲	20150102	1		3.5
119	粮油	液体调料	凉拌酱油	20150102	1		7.9
88	蔬果	水果	柑桔柚类	20150102	0.515		7.98
