顾客编号,大类名称,中类名称,小类名称,销售日期,销售数量,销售金额,商品单价
19,蔬果,水果,进口水果,20150101,1.262,22.2112,17.6
20,蔬果,蔬菜,根茎,20150101,0.206,1.1948,5.8
20,蔬果,蔬菜,叶菜,20150101,0.574,1.46944,2.56
21,蔬果,水果,柑桔柚类,20150101,0.998,1.996,2.0
57,洗化,纸制品,无芯纸,20150101,1.0,6.9,6.9
60,粮油,调味料,香辛粉,20150101,1.0,2.0,2.0
61,熟食,现制中式面点,现制蒸类,20150101,0.465,2.79,6.0
62,蔬果,水果,苹果类,20150101,1.868,33.2504,17.8
44,休闲,饼干,粗粮/蔬菜,20150101,1.0,1.5,1.5
32,洗化,洗浴用品,香皂,20150101,1.0,4.7,4.7
2,蔬果,水果,梨类,20150101,1.842,5.85756,3.18
21,蔬果,蔬菜,花果,20150101,0.496,1.27968,2.58
60,蔬果,蔬菜,芽菜,20150101,0.443,1.23154,2.78
51,洗化,卫生巾,夜用卫生巾,20150101,1.0,8.7,8.7
3,蔬果,水果,苹果类,20150101,0.504,6.03792,11.98
58,蔬果,蔬菜,叶菜,20150101,0.652,3.912,6.0
58,日配,冷冻点心,冷冻年糕,20150101,1.0,6.7,6.7
58,日配,冷冻火锅类,火锅丸类,20150101,0.398,12.9748,32.6
6,日配,蛋类,咸蛋,20150101,0.774,14.706,19.0
2,蔬果,蔬菜,根茎,20150101,0.598,1.0764,1.8
17,日配,冷藏肉制品,块状火腿,20150101,1.0,5.7,5.7
10,粮油,酱菜类,蔬菜,20150101,5.0,8.5,1.7
26,冲调,奶粉,全脂奶粉,20150101,1.0,19.9,19.9
12,蔬果,蔬菜,叶菜,20150101,2.862,5.60952,1.96
24,蔬果,蔬菜,叶菜,20150101,0.252,3.024,12.0
24,休闲,糕点,其他糕点,20150101,1.0,6.9,6.9
44,粮油,袋装速食面,牛肉口味,20150101,1.0,2.5,2.5
44,粮油,袋装速食面,干脆面,20150101,1.0,0.5,0.5
31,休闲,炒货,香瓜子,20150101,0.186,3.162,17.0
21,蔬果,蔬菜,根茎,20150101,0.312,1.73472,5.56
56,蔬果,水果,蕉类,20150101,1.878,18.74244,9.98
56,粮油,酱菜类,蔬菜,20150101,1.0,8.2,8.2
56,休闲,糕点,散称糕点,20150101,0.372,5.8776,15.8
52,休闲,糕点,散称糕点,20150101,0.144,3.7152,25.8
57,冲调,咖啡,咖啡,20150101,1.0,9.9,9.9
37,酒饮,啤酒,国产黄啤,20150101,4.0,10.0,2.5
46,蔬果,水果,柑桔柚类,20150101,1.32,19.7868,14.99
10,休闲,糕点,派,20150101,1.0,9.9,9.9
24,粮油,液体调料,陈醋,20150101,1.0,1.7,1.7
58,针织,毯子,双人电热毯,20150101,1.0,69.0,69.0
44,蔬果,蔬菜,鲜调味,20150101,0.44,2.8864,6.56
21,蔬果,加工豆类,豆腐,20150101,0.402,1.18992,2.96
44,休闲,糕点,散称糕点,20150101,0.086,2.7348,31.8
31,蔬果,加工豆类,豆类料理,20150101,0.082,2.2304,27.2
31,酒饮,黄酒,普通黄酒,20150101,1.0,12.9,12.9
21,蔬果,蔬菜,根茎,20150101,0.45,3.42,7.6
34,日配,蛋类,新鲜蛋品,20150101,1.014,6.87492,6.78
19,蔬果,水果,苹果类,20150101,1.236,14.80728,11.98
46,蔬果,水果,柑桔柚类,20150101,1.406,21.07594,14.99
47,蔬果,蔬菜,花果,20150101,0.39,0.7722,1.98
44,洗化,纸制品,软抽纸巾,20150101,1.0,19.9,19.9
31,蔬果,蔬菜,叶菜,20150101,0.244,2.928,12.0
49,蔬果,水果,苹果类,20150101,1.108,13.27384,11.98
64,蔬果,水果,其它水果,20150102,0.536,16.08,30.0
68,肉禽,猪肉,鲜猪肉,20150102,0.77,22.946,29.8
68,蔬果,蔬菜,菌菇类,20150102,0.5,3.28,6.56
68,日配,常温肉制品,猪肉火腿肠,20150102,1.0,16.3,16.3
70,蔬果,蔬菜,菌菇类,20150102,0.198,1.29888,6.56
71,蔬果,蔬菜,芽菜,20150102,0.556,0.82288,1.48
72,熟食,凉拌熟食,凉拌素食,20150102,0.546,10.92,20.0
73,洗化,纸制品,软抽纸巾,20150102,1.0,8.9,8.9
68,酒饮,进口酒,预调酒,20150102,1.0,10.5,10.5
70,粮油,桶杯装速食面,牛肉口味,20150102,1.0,5.5,5.5
74,日配,冷藏肉制品,其它肠类,20150102,1.0,12.9,12.9
74,休闲,口香糖,无糖口香糖,20150102,1.0,10.9,10.9
74,休闲,口香糖,无糖口香糖,20150102,1.0,16.0,16.0
75,蔬果,蔬菜,花果,20150102,0.69,6.8724,9.96
68,粮油,袋装速食面组,牛肉口味,20150102,1.0,22.5,22.5
68,冲调,冲调食品,麦片/粉,20150102,1.0,13.9,13.9
68,休闲,膨化点心,袋装薯片,20150102,1.0,5.9,5.9
76,休闲,蜜饯,山楂,20150102,1.0,7.5,7.5
71,蔬果,加工豆类,豆腐,20150102,0.565,1.6724,2.96
74,日配,常温肉制品,猪肉火腿肠,20150102,1.0,16.3,16.3
78,家居,打扫用品,手套,20150102,1.0,8.0,8.0
81,蔬果,蔬菜,花果,20150102,1.638,9.5004,5.8
84,日配,冷冻点心,冷冻面食,20150102,1.0,10.3,10.3
68,粮油,桶杯装速食面,牛肉口味,20150102,1.0,3.7,3.7
87,休闲,炒货,香瓜子,20150102,1.0,3.0,3.0
3,蔬果,加工豆类,豆腐,20150102,2.0,3.0,1.5
88,蔬果,水果,进口水果,20150102,0.598,10.5248,17.6
90,休闲,口香糖,有糖口香糖,20150102,1.0,9.7,9.7
91,蔬果,蔬菜,菌菇类,20150102,1.0,5.5,5.5
92,蔬果,水果,其它水果,20150102,0.93,9.2814,9.98
93,蔬果,蔬菜,根茎,20150102,1.006,2.57536,2.56
94,洗化,保养用品,护肤用品,20150102,1.0,40.0,40.0
76,粮油,液体调料,老抽酱油,20150102,1.0,7.9,7.9
95,粮油,液体调料,料酒,20150102,1.0,6.7,6.7
102,蔬果,蔬菜,花果,20150102,0.28,2.184,7.8
88,休闲,饼干,简装/压缩,20150102,0.182,3.6036,19.8
70,文体,学生用品,修正液/带,20150102,1.0,1.7,1.7
91,日配,蛋类,新鲜蛋品,20150102,0.914,6.19692,6.78
105,粮油,袋装速食面,牛肉口味,20150102,1.0,3.0,3.0
106,冲调,奶粉,婴儿辅助食品,20150102,1.0,4.9,4.9
106,洗化,洗浴用品,沐浴露,20150102,1.0,19.9,19.9
105,水产,干货水产,干货虾蟹贝类,20150102,0.168,5.04,30.0
12,蔬果,蔬菜,根茎,20150102,0.21,11.76,56.0
75,蔬果,蔬菜,花果,20150102,0.646,3.7468,5.8
12,粮油,液体调料,凉拌酱油,20150102,5.0,6.5,1.3
107,粮油,南北干货,干果,20150102,1.0,22.3,22.3
108,蔬果,蔬菜,根茎,20150102,1.472,5.82912,3.96
106,粮油,桶杯装速食面,牛肉口味,20150102,1.0,5.5,5.5
84,蔬果,蔬菜,花果,20150102,0.914,2.88824,3.16
78,洗化,洗护发用品,染发用品,20150102,1.0,108.0,108.0
90,粮油,南北干货,干果,20150102,1.0,22.3,22.3
92,蔬果,水果,梨类,20150102,2.152,34.34592,15.96
93,蔬果,水果,苹果类,20150102,1.212,14.51976,11.98
94,洗化,保养用品,洁面乳,20150102,1.0,23.9,23.9
84,肉禽,猪肉,鲜猪肉,20150102,0.28,7.784,27.8
91,蔬果,蔬菜,根茎,20150102,1.297,2.3346,1.8
105,粮油,煮食面/粉,挂面,20150102,1.0,8.5,8.5
113,酒饮,进口酒,预调酒,20150102,1.0,12.9,12.9
71,蔬果,水果,蕉类,20150102,1.184,11.81632,9.98
71,粮油,五谷杂粮,杂粮,20150102,0.906,14.3148,15.8
76,粮油,液体调料,凉拌酱油,20150102,1.0,6.9,6.9
76,洗化,卫生巾,夜用卫生巾,20150102,1.0,5.7,5.7
90,洗化,洗浴用品,香皂,20150102,1.0,4.9,4.9
87,粮油,食用油,山茶油/野茶油,20150102,1.0,87.9,87.9
113,酒饮,啤酒,国产黄啤,20150102,1.0,9.8,9.8
118,蔬果,水果,柑桔柚类,20150102,1.656,11.55888,6.98
107,冲调,冲饮品,奶茶饮品,20150102,1.0,4.9,4.9
88,蔬果,水果,其它水果,20150102,0.596,13.708,23.0
74,日配,冷藏乳品,冷藏营养酸乳,20150102,1.0,11.9,11.9
92,蔬果,水果,进口水果,20150102,1.19,20.944,17.6
90,休闲,糕点,蛋卷,20150102,1.0,4.5,4.5
90,洗化,纸制品,平板纸,20150102,1.0,5.9,5.9
119,粮油,调味料,香辛粉,20150102,1.0,7.3,7.3
70,文体,胶水胶带,固体胶,20150102,1.0,1.3,1.3
71,蔬果,水果,梨类,20150102,1.088,3.45984,3.18
72,蔬果,蔬菜,菌菇类,20150102,1.0,5.8,5.8
76,粮油,罐头,八宝粥,20150102,1.0,3.2,3.2
108,蔬果,蔬菜,根茎,20150102,-0.001,-0.00396,3.96
108,蔬果,蔬菜,根茎,20150102,0.001,0.00396,3.96
108,蔬果,蔬菜,花果,20150102,0.51,4.896,9.6
34,蔬果,水果,柑桔柚类,20150102,0.716,1.432,2.0
107,洗化,口腔卫生用品,成人牙刷,20150102,1.0,8.9,8.9
121,粮油,南北干货,红枣,20150102,0.282,10.6596,37.8
102,蔬果,蔬菜,根茎,20150102,0.152,0.5776,3.8
113,酒饮,茶饮料,红茶,20150102,1.0,2.5,2.5
119,粮油,液体调料,凉拌酱油,20150102,1.0,7.9,7.9
88,蔬果,水果,柑桔柚类,20150102,0.515,4.1097,7.98
72,肉禽,猪肉,猪骨,20150102,1.41,58.938,41.8
93,蔬果,蔬菜,根茎,20150102,0.986,5.48216,5.56
93,粮油,煮食面/粉,挂面,20150102,1.0,5.3,5.3
94,休闲,即食熟制品,其他即食熟制品,20150102,1.0,17.9,17.9
68,休闲,膨化点心,袋装薯片,20150102,1.0,7.5,7.5
70,粮油,桶杯装速食面,牛肉口味,20150102,1.0,3.0,3.0
76,粮油,盐/糖,功能盐,20150102,1.0,2.3,2.3
107,洗化,洗护发用品,润发护发,20150102,1.0,42.9,42.9
108,蔬果,蔬菜,叶菜,20150102,0.296,1.64576,5.56
84,日配,蛋类,新鲜蛋品,20150102,0.818,5.54604,6.78
108,洗化,纸制品,软抽纸巾,20150102,1.0,9.9,9.9
34,洗化,纸制品,无芯纸,20150102,1.0,24.9,24.9
90,日配,冷冻水饺,其它水饺,20150102,1.0,10.3,10.3
90,冲调,奶粉,营养奶粉,20150102,1.0,20.9,20.9
90,酒饮,果汁饮料,植物蛋白饮料,20150102,1.0,3.9,3.9
91,蔬果,蔬菜,根茎,20150102,0.81,6.156,7.6
64,休闲,糕点,沙琪玛,20150102,1.0,14.3,14.3
68,蔬果,蔬菜,叶菜,20150102,1.025,2.624,2.56
68,蔬果,蔬菜,花果,20150102,0.537,1.38546,2.58
90,粮油,五谷杂粮,杂粮,20150102,0.546,7.5348,13.8
90,休闲,饼干,钙奶,20150102,1.0,3.9,3.9
90,洗化,纸制品,平板纸,20150102,1.0,3.9,3.9
73,洗化,纸制品,软抽纸巾,20150102,1.0,9.7,9.7
70,蔬果,蔬菜,花果,20150102,0.292,2.2776,7.8
74,蔬果,蔬菜,根茎,20150102,0.296,2.3088,7.8
12,蔬果,蔬菜,根茎,20150102,0.704,4.61824,6.56
12,蔬果,蔬菜,叶菜,20150102,0.666,4.36896,6.56
92,蔬果,水果,其它水果,20150102,0.973,22.379,23.0
93,蔬果,加工豆类,豆腐,20150102,2.0,3.0,1.5
94,酒饮,果汁饮料,其他果汁饮料,20150102,1.0,4.5,4.5
76,洗化,卫生巾,夜用卫生巾,20150102,1.0,8.9,8.9
87,粮油,液体调料,香醋,20150102,1.0,1.3,1.3
68,休闲,糖果,软糖,20150102,1.0,2.0,2.0
88,休闲,饼干,简装/压缩,20150102,0.212,4.1976,19.8
71,蔬果,蔬菜,其它蔬菜,20150102,4.0,8.0,2.0
74,休闲,口香糖,有糖口香糖,20150102,1.0,10.9,10.9
94,冲调,冲饮品,奶茶饮品,20150102,1.0,3.0,3.0
68,蔬果,蔬菜,菌菇类,20150102,0.298,2.682,9.0
68,粮油,袋装速食面,牛肉口味,20150102,1.0,3.0,3.0
70,蔬果,蔬菜,菌菇类,20150102,0.116,1.044,9.0
70,文体,学生用品,剪刀美工刀,20150102,2.0,1.0,0.5
72,蔬果,蔬菜,花果,20150102,0.82,1.476,1.8
72,蔬果,蔬菜,菌菇类,20150102,1.0,30.0,30.0
3,休闲,炒货,香瓜子,20150102,0.33,4.554,13.8
3,休闲,糖果,其他糖果,20150102,0.13,9.23,71.0
74,洗化,口腔卫生用品,成人牙膏,20150102,1.0,18.9,18.9
94,日配,冷藏乳品,冷藏果粒酸乳,20150102,1.0,6.9,6.9
94,酒饮,乳饮料,加味酸乳饮,20150102,1.0,4.3,4.3
90,粮油,罐头,肉类罐头,20150102,1.0,19.9,19.9
75,肉禽,鸡产品,分割鸡件,20150102,0.418,7.942,19.0
90,休闲,饼干,趣味/休闲,20150102,1.0,4.5,4.5
105,蔬果,蔬菜,叶菜,20150102,1.082,2.76992,2.56
87,粮油,液体调料,白醋,20150102,1.0,2.9,2.9
90,休闲,糕点,蛋卷,20150102,1.0,4.5,4.5
106,日配,冷藏乳品,冷藏原味鲜乳,20150102,1.0,15.9,15.9
68,日配,冷藏乳品,冷藏原味酸乳,20150102,1.0,11.9,11.9
107,日配,常温肉制品,猪肉火腿肠,20150102,1.0,16.3,16.3
68,蔬果,蔬菜,花果,20150102,0.39,0.7722,1.98
68,粮油,调味酱,色拉酱,20150102,1.0,15.9,15.9
70,日配,冷冻火锅类,火锅丸类,20150102,0.534,17.4084,32.6
71,粮油,南北干货,红枣,20150102,0.35,13.23,37.8
106,冲调,滋补营养品,补钙/铁/锌,20150102,1.0,81.9,81.9
106,休闲,蜜饯,梅,20150102,1.0,4.2,4.2
93,熟食,现制中式面点,现制蒸类,20150102,8.0,4.0,0.5
94,休闲,蜜饯,山楂,20150102,1.0,4.9,4.9
76,休闲,蜜饯,枣,20150102,1.0,3.7,3.7
73,酒饮,果汁饮料,植物蛋白饮料,20150102,1.0,4.9,4.9
34,休闲,蜜饯,葡萄干,20150102,1.0,11.9,11.9
72,肉禽,猪肉,鲜猪肉,20150102,0.42,11.676,27.8
72,蔬果,蔬菜,花果,20150102,0.752,1.2032,1.6
76,粮油,调味料,鸡精,20150102,1.0,7.3,7.3
105,蔬果,水果,蕉类,20150102,0.892,8.90216,9.98
90,休闲,饼干,威化,20150102,1.0,14.9,14.9
90,酒饮,果汁饮料,植物蛋白饮料,20150102,1.0,5.0,5.0
87,蔬果,蔬菜,叶菜,20150102,0.23,1.334,5.8
87,蔬果,蔬菜,菌菇类,20150102,0.14,2.52,18.0
121,粮油,袋装速食面,牛肉口味,20150102,1.0,2.5,2.5
91,蔬果,蔬菜,叶菜,20150102,1.0,4.98,4.98
105,蔬果,水果,梨类,20150102,1.27,15.2146,11.98
105,粮油,袋装速食面,牛肉口味,20150102,1.0,3.0,3.0
126,粮油,五谷杂粮,饺子粉,20150102,1.0,19.9,19.9
56,粮油,煮食面/粉,杂粮挂面,20150102,2.0,13.8,6.9
106,休闲,即食熟制品,猪肉干,20150102,1.0,8.9,8.9
12,粮油,南北干货,蔬菜,20150102,0.346,6.8508,19.8
107,粮油,桶杯装速食面,牛肉口味,20150102,1.0,3.9,3.9
64,蔬果,水果,蕉类,20150102,2.266,13.50536,5.96
119,粮油,液体调料,料酒,20150102,1.0,5.9,5.9
70,蔬果,蔬菜,叶菜,20150102,0.182,1.0192,5.6
70,蔬果,蔬菜,根茎,20150102,0.454,1.7252,3.8
74,粮油,液体调料,白醋,20150102,1.0,5.9,5.9
94,休闲,饼干,酥性,20150102,1.0,3.7,3.7
94,酒饮,香烟,国产省内香烟,20150102,1.0,32.0,32.0
3,休闲,巧克力,其他巧克力,20150102,0.172,6.5016,37.8
90,日配,冷冻汤圆,其它汤圆,20150102,1.0,14.3,14.3
90,酒饮,乳饮料,纯味酸乳饮,20150102,1.0,4.9,4.9
87,休闲,炒货,西瓜子,20150102,1.0,8.5,8.5
95,粮油,液体调料,生抽酱油,20150102,1.0,6.9,6.9
127,洗化,卫生巾,日用卫生巾,20150103,1.0,7.9,7.9
130,熟食,现制中式面点,现制烙类,20150103,2.0,2.0,1.0
133,蔬果,蔬菜,花果,20150103,0.22,2.112,9.6
134,酒饮,碳酸饮料,可乐型,20150103,1.0,2.8,2.8
61,休闲,糖果,其他糖果,20150103,0.084,5.964,71.0
139,休闲,膨化点心,袋装薯片,20150103,1.0,5.9,5.9
139,休闲,巧克力,夹心巧克力,20150103,1.0,5.3,5.3
140,休闲,饼干,钙奶,20150103,1.0,3.9,3.9
142,粮油,液体调料,滴醋,20150103,1.0,3.8,3.8
140,粮油,调味料,香辛料,20150103,1.0,2.7,2.7
144,蔬果,水果,蕉类,20150103,0.984,9.82032,9.98
145,日配,蛋类,新鲜蛋品,20150103,0.742,5.03076,6.78
134,休闲,糖果,其他糖果,20150103,1.0,4.5,4.5
146,休闲,膨化点心,罐装薯片,20150103,1.0,8.3,8.3
127,洗化,卫生巾,夜用卫生巾,20150103,1.0,9.9,9.9
17,休闲,饼干,简装/压缩,20150103,0.178,3.5244,19.8
140,蔬果,蔬菜,花果,20150103,0.674,1.73892,2.58
140,熟食,现制中式面点,现制蒸类,20150103,0.41,2.46,6.0
140,休闲,饼干,钙奶,20150103,1.0,4.7,4.7
134,休闲,膨化点心,其他膨化点心,20150103,1.0,2.7,2.7
151,蔬果,蔬菜,有机蔬菜,20150103,0.908,4.54,5.0
151,粮油,调味料,鸡精,20150103,1.0,8.5,8.5
152,蔬果,蔬菜,菌菇类,20150103,0.198,3.564,18.0
139,蔬果,水果,柑桔柚类,20150103,1.074,7.49652,6.98
140,粮油,调味酱,甜面/豆瓣酱,20150103,1.0,3.7,3.7
153,日配,冷冻水饺,其它水饺,20150103,1.0,10.3,10.3
153,日配,冷冻包子馒头,咸馅包子,20150103,1.0,19.3,19.3
156,洗化,纸制品,无芯纸,20150103,1.0,14.5,14.5
151,粮油,盐/糖,功能糖,20150103,1.0,9.9,9.9
130,蔬果,蔬菜,叶菜,20150103,2.962,7.58272,2.56
156,酒饮,碳酸饮料,原味型,20150103,1.0,6.9,6.9
144,蔬果,蔬菜,根茎,20150103,0.658,1.68448,2.56
151,粮油,酱菜类,蔬菜,20150103,1.0,8.2,8.2
146,休闲,膨化点心,袋装薯片,20150103,1.0,3.7,3.7
133,日配,蛋类,新鲜蛋品,20150103,0.804,5.45112,6.78
12,肉禽,猪肉,猪骨,20150103,1.184,30.3104,25.6
134,休闲,饼干,趣味/休闲,20150103,1.0,4.5,4.5
151,粮油,酱菜类,腐乳,20150103,1.0,7.9,7.9
87,粮油,液体调料,料酒,20150103,1.0,5.9,5.9
151,洗化,纸制品,手帕纸,20150103,1.0,2.9,2.9
162,休闲,进口食品,进口休闲食品,20150103,1.0,12.0,12.0
162,洗化,卫生巾,夜用卫生巾,20150103,1.0,6.7,6.7
133,蔬果,蔬菜,叶菜,20150103,0.372,2.1576,5.8
140,蔬果,蔬菜,根茎,20150103,1.168,2.99008,2.56
163,日配,冷藏肉制品,香肠类,20150103,1.0,16.5,16.5
17,蔬果,蔬菜,根茎,20150103,1.327,3.39712,2.56
17,休闲,糕点,散称糕点,20150103,0.21,4.998,23.8
164,日配,冷冻馄饨,其它馄饨,20150103,1.0,7.3,7.3
